"","rank","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date","record","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record"
"12481",139,"UNC Wilmington","CAA",NA,103.242791119074,153,100.40395831896,141,0.579480325398989,NA,NA,0.332963292826259,48,NA,NA,"2022-12-11","8-3",65.3446526952589,310,"21.7-9.3","12.4-5.6"
"12482",140,"Troy","SB",NA,104.647538353425,119,101.818594086475,167,0.578144166619993,NA,NA,-1.63127257014828,139,NA,NA,"2022-12-11","7-4",67.0661283360331,239,"19.1-11.9","10.6-7.4"
"12483",141,"Jacksonville","ASun",NA,102.742320095237,165,100.023968436569,134,0.57648589452353,NA,NA,-0.676681599279483,88,NA,NA,"2022-12-11","5-3",65.2751574309059,313,"18.4-10.6","11.5-6.5"
"12484",142,"Hawaii","BW",NA,102.271417592298,177,99.5891880450209,121,0.575818543965165,NA,NA,-1.94371887982738,157,NA,NA,"2022-12-11","6-3",64.95396414178,319,"18.9-11.1","12.3-7.7"
"12485",143,"Vermont","AE",NA,103.307363618651,151,100.613427573792,147,0.575386766967634,NA,NA,-3.39716345570461,254,NA,NA,"2022-12-11","6-7",65.6456677791758,296,"18.5-12.5","11.8-4.2"
"12486",144,"Harvard","Ivy",NA,99.791487937419,228,97.4268507386912,83,0.568511815808603,NA,NA,-1.85739549977757,149,NA,NA,"2022-12-11","7-3",67.5295962171138,223,"17.3-10.7","8.6-5.4"
"12487",145,"Hofstra","CAA",NA,105.925144595644,92,103.534516145991,210,0.565255066276173,NA,NA,-1.1138020148731,116,NA,NA,"2022-12-11","6-5",68.9769263988913,143,"19.9-11.1","12.5-5.5"
"12488",146,"Pepperdine","WCC",NA,101.782383239941,190,99.6768667111577,125,0.559809578310958,NA,NA,-2.20316026828635,174,NA,NA,"2022-12-11","5-4",72.2182391089775,28,"12.9-15.1","6.3-9.7"
"12489",147,"Loyola Chicago","A10",NA,100.741264222437,214,98.6829267003978,102,0.559072995691179,NA,NA,-2.96496370812625,228,NA,NA,"2022-12-11","5-5",64.8280913543673,321,"15-15","8.7-9.3"
"12490",148,"South Alabama","SB",NA,101.604216601716,193,99.6293206409002,122,0.556193625514637,NA,NA,-2.53090045390432,201,NA,NA,"2022-12-11","3-6",67.9716829441744,194,"17.1-13.9","10.6-7.4"
"12491",149,"Youngstown St.","Horz",NA,108.438394581462,54,106.893463135404,279,0.541161599466966,NA,NA,-2.4834744212941,196,NA,NA,"2022-12-11","7-4",70.4421399195181,83,"21.3-9.7","13.9-6.1"
"12492",150,"Fordham","A10",NA,101.952416270445,182,100.583171144156,145,0.538795424257236,NA,NA,0.623120279725773,37,NA,NA,"2022-12-11","11-1",70.6202227323599,76,"20.6-10.4","8.6-9.4"
"12493",151,"Tarleton St.","WAC",NA,101.077516714829,202,99.8108928203067,128,0.536191468360828,NA,NA,-1.90279389124232,152,NA,NA,"2022-12-11","5-5",68.2312981082621,182,"16.9-14.1","9.7-8.3"
"12494",152,"Southern Utah","WAC",NA,103.399553045282,148,102.114011565433,177,0.535906318395781,NA,NA,-1.931496800757,155,NA,NA,"2022-12-11","7-4",72.4420581196803,23,"16.7-14.3","8.8-9.2"
"12495",153,"UTEP","CUSA",NA,99.7175058287625,231,98.5629408817174,101,0.53343203095272,NA,NA,-1.03229635065159,112,NA,NA,"2022-12-11","6-3",68.1138252863864,185,"15.6-14.4","8.8-11.2"
"12496",154,"Long Beach St.","BW",NA,101.423700528657,198,100.281254670082,139,0.532522053621965,NA,NA,-2.5110524343441,199,NA,NA,"2022-12-11","4-5",73.4861967693119,12,"17.5-14.5","11.5-8.5"
"12497",155,"Old Dominion","SB",NA,100.857731210673,211,99.7650197594932,127,0.53127735442768,NA,NA,-1.82713443951487,147,NA,NA,"2022-12-11","7-4",65.8918932775768,293,"17.1-12.9","9.4-8.6"
"12498",156,"Stephen F. Austin","WAC",NA,102.177228890875,178,101.090461579388,155,0.530703890389699,NA,NA,-2.97350823422341,229,NA,NA,"2022-12-11","5-4",71.1423663608365,55,"16.8-14.2","9.3-8.7"
"12499",157,"Cleveland St.","Horz",NA,100.554470677974,216,99.5235411219051,120,0.529593301946114,NA,NA,-3.22638616186785,246,NA,NA,"2022-12-11","6-5",63.3846002443659,350,"20.4-10.6","14.1-5.9"
"12500",158,"Davidson","A10",NA,105.76025083311,97,104.725629623567,233,0.528233682093443,NA,NA,-1.30866718846215,124,NA,NA,"2022-12-11","7-3",66.7735188671222,255,"15.8-14.2","8-10"
"12501",159,"Longwood","BSth",NA,103.324678327201,150,102.494695284607,184,0.523170851090118,NA,NA,-3.03744314429015,236,NA,NA,"2022-12-11","5-5",67.972739888822,193,"19.4-11.6","12-6"
"12502",160,"UNC Greensboro","SC",NA,97.6494325278597,271,96.93592684297,75,0.521071708892423,NA,NA,-3.55303328308956,267,NA,NA,"2022-12-11","4-6",66.6574716494297,260,"17-14","11.1-6.9"
"12503",161,"Murray St.","MVC",NA,100.696976523212,215,100.178116489431,137,0.514847906732599,NA,NA,-1.95991250427053,158,NA,NA,"2022-12-11","5-4",68.0972053755142,186,"16.1-13.9","11.3-8.7"
"12504",162,"Nicholls St.","Slnd",NA,100.165900365427,223,99.8883806712108,131,0.507975854847306,NA,NA,-2.13140795343019,167,NA,NA,"2022-12-11","4-5",73.2619793929282,14,"19.2-10.8","14-4"
"12505",163,"UC Riverside","BW",NA,101.838985777995,185,101.565653567265,160,0.507726156415189,NA,NA,-0.613854187898606,86,NA,NA,"2022-12-11","6-3",68.1885998230122,183,"18.3-13.7","11-9"
"12506",164,"Ohio","MAC",NA,105.206249428107,107,104.923885056498,240,0.507726006984085,NA,NA,-1.99577770438579,160,NA,NA,"2022-12-11","5-4",66.5402860800065,267,"18-13","10.8-7.2"
"12507",165,"Missouri St.","MVC",NA,98.7165139260458,253,98.4810062096038,99,0.506866642514462,NA,NA,-3.77738684201765,275,NA,NA,"2022-12-11","4-6",64.2269496258376,339,"14.8-16.2","10.4-9.6"
"12508",166,"Ball St.","MAC",NA,105.363941037215,101,105.138464359001,246,0.506158722142968,NA,NA,-2.47737792851055,194,NA,NA,"2022-12-11","6-4",67.8454197240941,203,"18.9-12.1","10.6-7.4"
"12509",167,"Florida St.","ACC",NA,100.993778175757,207,100.952268294732,153,0.501181906647206,NA,NA,-5.59271460846392,337,NA,NA,"2022-12-11","2-9",70.9347633155776,64,"8.4-22.6","6.3-13.7"
"12510",168,"San Jose St.","MWC",NA,105.919664539955,93,105.973296535648,257,0.498544627866205,NA,NA,-0.834518592969355,97,NA,NA,"2022-12-11","8-3",63.2011920218708,351,"14.7-17.3","5-13"
"12511",169,"South Florida","Amer",NA,100.834449488257,212,100.887478264153,150,0.498488441276935,NA,NA,-4.27774775938109,294,NA,NA,"2022-12-11","3-6",65.3646308476464,309,"12.4-18.6","6.5-11.5"
"12512",170,"George Mason","A10",NA,102.367283072356,174,102.459118416821,183,0.497421970103625,NA,NA,-2.25057173425624,175,NA,NA,"2022-12-11","6-4",64.9601568628153,318,"15.5-15.5","8-10"
"12513",171,"Quinnipiac","MAAC",NA,101.839576687799,184,102.034822814642,174,0.494493569633794,NA,NA,-0.848067589531638,98,NA,NA,"2022-12-11","9-2",70.6281355207735,74,"20.6-10.4","11.5-8.5"
"12514",172,"San Diego","WCC",NA,106.750961049992,80,106.970087655965,280,0.494104838772789,NA,NA,-3.45309411268806,261,NA,NA,"2022-12-11","5-5",69.0145226837376,140,"11.9-17.1","5-10"
"12515",173,"Penn","Ivy",NA,107.018095203039,76,107.247604090451,283,0.493841245387954,NA,NA,-3.47536213800889,263,NA,NA,"2022-12-11","6-7",66.6277328102868,261,"15.6-13.4","7.6-6.4"
"12516",174,"Utah Tech","WAC",NA,103.941410300596,138,104.193282210319,225,0.493042146498431,NA,NA,-2.17876425667499,171,NA,NA,"2022-12-11","5-5",68.6518932448314,159,"16.5-14.5","8.5-9.5"
"12517",175,"Cornell","Ivy",NA,105.282195627378,105,105.584353667615,252,0.491761364336546,NA,NA,-0.702832482720539,92,NA,NA,"2022-12-11","7-2",72.7992705528941,20,"16.8-10.2","7.6-6.4"
"12518",176,"Navy","Pat",NA,104.505395146031,124,104.895715886135,239,0.489283709381165,NA,NA,-1.82659102268867,146,NA,NA,"2022-12-11","6-4",64.8000606415959,322,"19.2-10.8","12-6"
"12519",177,"Cal Baptist","WAC",NA,99.5993859834284,234,100.033101769742,135,0.487510294862122,NA,NA,-2.39907667648528,186,NA,NA,"2022-12-11","7-4",63.5363325923145,348,"17.2-13.8","8.4-9.6"
"12520",178,"George Washington","A10",NA,105.768375596295,96,106.329432936367,266,0.484794315147659,NA,NA,-3.22162560514779,245,NA,NA,"2022-12-11","5-4",68.076056335751,190,"13.8-15.2","7.8-10.2"
"12521",179,"Georgetown","BE",NA,105.624331452095,98,106.413514397639,269,0.478612054908898,NA,NA,-3.90594320590128,279,NA,NA,"2022-12-11","5-6",69.1142101997288,135,"9-22","4-16"
"12522",180,"UC Davis","BW",NA,99.4134547188333,238,100.262920597904,138,0.475557624411408,NA,NA,-1.93812473799582,156,NA,NA,"2022-12-11","6-3",73.0689472000645,16,"18-14","10.4-9.6"
"12523",181,"Bryant","AE",NA,106.262179132628,84,107.353056445021,285,0.470669706040438,NA,NA,-0.88298338174728,102,NA,NA,"2022-12-11","8-3",74.9710874731214,2,"19.2-9.8","10.4-5.6"
"12524",182,"Abilene Christian","WAC",NA,101.033952726583,204,102.110382106949,176,0.46956904090588,NA,NA,-3.2157056451665,244,NA,NA,"2022-12-11","6-5",69.1069371154296,136,"15.2-15.8","7.6-10.4"
"12525",183,"Southern","SWAC",NA,97.7690448936406,267,98.9568253992088,107,0.46533823423956,NA,NA,-2.14143876105325,169,NA,NA,"2022-12-11","4-5",72.4571938853741,22,"18.5-12.5","13.5-4.5"
"12526",184,"High Point","BSth",NA,103.656226345047,144,104.939386668916,242,0.464687745314967,NA,NA,-0.59399998278502,85,NA,NA,"2022-12-11","8-2",71.8596403889282,39,"19.8-10.2","11.1-6.9"
"12527",185,"Norfolk St.","MEAC",NA,103.256018846738,152,104.545019081311,231,0.46439238465549,NA,NA,-0.87998879382414,101,NA,NA,"2022-12-11","6-4",66.8545048604844,251,"20.6-9.4","10.4-3.6"
"12528",186,"Lipscomb","ASun",NA,104.54594639421,123,105.87772144077,254,0.463671792489543,NA,NA,-2.63082054516314,205,NA,NA,"2022-12-11","6-4",69.5190501124038,108,"17.1-13.9","9.6-8.4"
"12529",187,"Queens","ASun",NA,103.94650839703,137,105.27891900931,249,0.463447099197279,NA,NA,-0.760358631288728,94,NA,NA,"2022-12-11","8-2",69.0024624774015,141,"18.9-12.1","9.5-8.5"
"12530",188,"Belmont","MVC",NA,105.292930069853,104,106.698596031059,275,0.461946273126485,NA,NA,-3.34218985143132,251,NA,NA,"2022-12-11","6-5",70.6309697542916,73,"15.7-15.3","10-10"
"12531",189,"Fort Wayne","Horz",NA,96.5257170566138,295,97.8147904059035,91,0.46193311950136,NA,NA,-2.06330650935132,165,NA,NA,"2022-12-11","7-4",70.7064913147927,67,"19.6-11.4","12.1-7.9"
"12532",190,"Kennesaw St.","ASun",NA,103.727764386825,142,105.32318297165,250,0.456229080927009,NA,NA,-1.34372907701073,126,NA,NA,"2022-12-11","6-3",67.3052061671981,236,"17.8-13.2","9.9-8.1"
"12533",191,"Montana","BSky",NA,103.052458899201,158,104.787124184327,236,0.452155223862181,NA,NA,-2.79160782208554,216,NA,NA,"2022-12-11","5-5",64.2959699820871,337,"16.6-13.4","10.9-7.1"
"12534",192,"La Salle","A10",NA,96.9783332939782,285,98.7214410732991,103,0.44896149050093,NA,NA,-3.10236848975621,241,NA,NA,"2022-12-11","5-5",69.4496011598696,112,"14-17","7.4-10.6"
"12535",193,"SMU","Amer",NA,98.1283346664815,262,99.9458398466541,132,0.447432180699389,NA,NA,-4.47761304064787,304,NA,NA,"2022-12-11","3-7",68.5164432150759,166,"8.6-20.4","5.4-12.6"
"12536",194,"Gardner Webb","BSth",NA,93.7902207303995,330,95.6189484931951,63,0.444709598073618,NA,NA,-4.62975870563016,312,NA,NA,"2022-12-11","2-7",67.4477667589917,230,"15.4-14.6","10.7-7.3"
"12537",195,"St. Thomas","Sum",NA,108.392749300876,55,110.571766762721,336,0.44302572289572,NA,NA,-1.41885746606744,129,NA,NA,"2022-12-11","8-4",66.4559472128619,273,"20.1-10.9","11.2-6.8"
"12538",196,"Texas A&M Corpus Chris","Slnd",NA,101.293663133944,200,103.367907849312,204,0.441984248129305,NA,NA,-2.77274443374961,213,NA,NA,"2022-12-11","5-4",70.5664023944605,77,"20.2-10.8","13.1-4.9"
"12539",197,"SIU Edwardsville","OVC",NA,99.7705823303144,229,101.883004584391,168,0.440053403259278,NA,NA,-2.30897044625065,178,NA,NA,"2022-12-11","7-4",70.6646657863849,71,"20.8-10.2","12.7-5.3"
"12540",198,"Boston College","ACC",NA,97.7029864305806,269,99.8352975884994,129,0.438246575321139,NA,NA,-3.43706953750731,260,NA,NA,"2022-12-11","5-6",67.6113254932454,216,"10.3-20.7","4.4-15.6"
"12541",199,"Texas St.","SB",NA,101.552943254883,194,103.801295773422,219,0.437373345175548,NA,NA,-2.46183797907759,191,NA,NA,"2022-12-11","6-4",66.0975531212085,287,"16.5-14.5","8.2-9.8"
"12542",200,"American","Pat",NA,101.513931465831,195,103.778850194057,218,0.436898074759121,NA,NA,-0.684943801199105,89,NA,NA,"2022-12-11","7-2",65.3243728355218,311,"19.7-9.3","11.1-6.9"
"12543",201,"Delaware","CAA",NA,103.093969557839,156,105.493814951124,251,0.434225547594001,NA,NA,-2.02761975633236,163,NA,NA,"2022-12-11","6-4",67.9467568963888,197,"16.7-14.3","9.6-8.4"
"12544",202,"Minnesota","B10",NA,99.7236527028319,230,102.084472209096,175,0.433134433009696,NA,NA,-2.82195335057948,218,NA,NA,"2022-12-11","4-6",65.375671968248,308,"8.8-22.2","2.3-17.7"
"12545",203,"Mount St. Mary's","MAAC",NA,99.1713627847964,247,101.598315090221,162,0.43093360309173,NA,NA,-3.57370033387649,269,NA,NA,"2022-12-11","5-6",66.7923680551465,254,"16.4-14.6","11-9"
"12546",204,"Grambling St.","SWAC",NA,95.499992070079,307,97.8428061366749,92,0.430769063410377,NA,NA,-0.944740051969254,107,NA,NA,"2022-12-11","6-3",69.0947366903062,137,"19.3-10.7","13-5"
"12547",205,"Mercer","SC",NA,101.480397470659,197,104.138766064538,222,0.426199447043553,NA,NA,-4.45708346378838,302,NA,NA,"2022-12-11","5-6",67.3635716859863,233,"15.6-15.4","9.6-8.4"
"12548",206,"Siena","MAAC",NA,100.201464288385,222,102.953710876358,195,0.422721371816783,NA,NA,-2.98406847132936,231,NA,NA,"2022-12-11","5-5",68.2459346137437,180,"16.1-14.9","11.2-8.8"
"12549",207,"Brown","Ivy",NA,94.733565566406,318,97.3436407817443,80,0.42249028262542,NA,NA,-3.05615978377656,237,NA,NA,"2022-12-11","6-5",67.7122365206472,212,"13.7-13.3","6.7-7.3"
"12550",208,"Wright St.","Horz",NA,99.2599293671652,243,102.029596647283,173,0.421531101095906,NA,NA,-3.83810382086633,278,NA,NA,"2022-12-11","5-5",71.9648226445762,35,"17.5-13.5","10.6-9.4"
"12551",209,"North Florida","ASun",NA,102.358621174551,176,105.23784069495,248,0.420915923976341,NA,NA,-2.39550282427651,185,NA,NA,"2022-12-11","3-6",70.2874492766312,87,"14.6-16.4","8.7-9.3"
"12552",210,"Buffalo","MAC",NA,99.6076064719084,233,102.594516213402,188,0.415863297872893,NA,NA,-2.70231073035043,211,NA,NA,"2022-12-11","5-5",74.0946619596664,7,"15.2-15.8","9.1-8.9"
"12553",211,"UMBC","AE",NA,105.933371762487,91,109.173475803416,310,0.414238742613178,NA,NA,-2.50732013306393,198,NA,NA,"2022-12-11","7-4",68.9542278814233,145,"18.9-12.1","9.6-6.4"
"12554",212,"Appalachian St.","SB",NA,98.6445283439698,254,101.682393878284,164,0.41367074397768,NA,NA,-2.98050793500737,230,NA,NA,"2022-12-11","6-4",67.4560443500513,227,"15.3-15.7","7.9-10.1"
"12555",213,"Rhode Island","A10",NA,96.2038176845195,301,99.2241155454144,113,0.412052110540578,NA,NA,-5.32214034058316,332,NA,NA,"2022-12-11","3-7",67.4223624633789,231,"11.1-19.9","6.6-11.4"
"12556",214,"Detroit","Horz",NA,108.299957398219,57,111.72915636353,346,0.411325444893732,NA,NA,-3.01750835689274,234,NA,NA,"2022-12-11","5-6",68.3546849535823,173,"16.8-14.2","12.2-7.8"
"12557",215,"Rider","MAAC",NA,101.840545116595,183,105.10647122181,244,0.410232644298179,NA,NA,-2.37487233232592,184,NA,NA,"2022-12-11","4-4",67.5647558128667,219,"15.3-13.7","11.5-8.5"
"12558",216,"Drexel","CAA",NA,99.3607429194654,240,102.553284561968,185,0.410066058184801,NA,NA,-3.3216182554553,250,NA,NA,"2022-12-11","5-5",64.2787725740507,338,"16.6-14.4","10.2-7.8"
"12559",217,"Pacific","WCC",NA,106.16154826837,87,109.640918256553,317,0.408333296242976,NA,NA,-6.18806942421286,345,NA,NA,"2022-12-11","4-8",70.5299003081776,80,"12.5-19.5","4.5-11.5"
"12560",218,"Northern Colorado","BSky",NA,106.216652055871,85,109.737330156089,319,0.407333368579087,NA,NA,-1.89560709733,151,NA,NA,"2022-12-11","5-5",68.9839068196714,142,"16.7-13.3","10.1-7.9"
"12561",219,"Stetson","ASun",NA,106.946266306848,78,110.52644707079,335,0.406446379765342,NA,NA,-1.48124742506547,133,NA,NA,"2022-12-11","5-3",64.6336842476213,328,"14.1-14.9","8.6-9.4"
"12562",220,"South Dakota St.","Sum",NA,100.998346230083,206,104.463187507947,229,0.404222494204246,NA,NA,-2.8613482293555,221,NA,NA,"2022-12-11","4-7",69.2740678190453,124,"16.5-14.5","10.5-7.5"
"12563",221,"Sacramento St.","BSky",NA,104.180870983672,131,107.766484407816,290,0.403924590919952,NA,NA,-2.69223175859063,208,NA,NA,"2022-12-11","5-5",63.5822326623135,346,"16.7-14.3","10.1-7.9"
"12564",222,"Bellarmine","ASun",NA,102.994666994326,160,106.598571885798,271,0.402389566481586,NA,NA,-2.34161697009229,181,NA,NA,"2022-12-11","5-6",62.2136066243299,357,"15.1-15.9","8.7-9.3"
"12565",223,"Wofford","SC",NA,104.985024650065,112,108.801647092901,304,0.39875610879518,NA,NA,-2.95330834388285,226,NA,NA,"2022-12-11","6-5",65.8457377783785,294,"16.2-14.8","9.1-8.9"
"12566",224,"FIU","CUSA",NA,99.3344324769941,241,102.969699055407,196,0.39811182778438,NA,NA,-2.79032608277271,215,NA,NA,"2022-12-11","4-4",71.7765873095619,42,"13-18","6.5-13.5"
"12567",225,"Bucknell","Pat",NA,104.271097603363,130,108.116272119163,293,0.397366592244694,NA,NA,-2.91735323436594,224,NA,NA,"2022-12-11","6-4",67.4494852699066,229,"17.6-13.4","10.5-7.5"
"12568",226,"Tulsa","Amer",NA,99.2821326320788,242,102.989966424735,198,0.396119975957448,NA,NA,-4.19348365292828,289,NA,NA,"2022-12-11","3-6",71.0114703852839,62,"8.9-20.1","4.8-13.2"
"12569",227,"Radford","BSth",NA,101.811364943876,188,105.821638794455,253,0.390720940386577,NA,NA,-2.31275087146231,179,NA,NA,"2022-12-11","6-4",68.4634832963242,168,"16.4-14.6","9.8-8.2"
"12570",228,"Northwestern St.","Slnd",NA,104.778236075695,117,109.055101296406,309,0.386966204246041,NA,NA,0.0843775224172372,60,NA,NA,"2022-12-11","8-2",67.7367750146773,208,"20.9-10.1","12.3-5.7"
"12571",229,"Northern Iowa","MVC",NA,99.3694611481843,239,103.439113149032,205,0.386608521071072,NA,NA,-4.30079676063033,296,NA,NA,"2022-12-11","3-6",66.5135587201186,271,"11.8-18.2","8.5-11.5"
"12572",230,"Milwaukee","Horz",NA,98.973724878968,251,103.163836640914,200,0.38299963927477,NA,NA,-1.82872222915072,148,NA,NA,"2022-12-11","8-4",70.7916486763702,65,"17.8-13.2","11.5-8.5"
"12573",231,"Saint Joseph's","A10",NA,99.0870720229693,248,103.328334791695,203,0.38178101827857,NA,NA,-2.85530178288782,220,NA,NA,"2022-12-11","4-5",70.6470299005802,72,"12-18","6-12"
"12574",232,"South Carolina","SEC",NA,97.3854811385582,275,101.801248398222,166,0.375200518784206,NA,NA,-2.49019789519082,197,NA,NA,"2022-12-11","5-4",64.8948702703316,320,"9.2-21.8","2.4-15.6"
"12575",233,"Oregon St.","P12",NA,99.6751160929388,232,104.217169947951,226,0.374619453182983,NA,NA,-3.26321800458883,249,NA,NA,"2022-12-11","4-6",64.1630261262856,342,"9.2-21.8","4.2-15.8"
"12576",234,"Fairfield","MAAC",NA,98.3679642792828,260,102.937536047164,194,0.372342035514465,NA,NA,-3.94507809017875,281,NA,NA,"2022-12-11","4-6",64.43483461651,334,"14.7-16.3","9.8-10.2"
"12577",235,"UNC Asheville","BSth",NA,103.477928165094,146,108.333354292346,296,0.371139921342316,NA,NA,-2.40310820307358,187,NA,NA,"2022-12-11","6-4",69.5994233883788,104,"16.5-14.5","9.4-8.6"
"12578",236,"Georgia St.","SB",NA,95.9756435828932,302,100.489901198755,143,0.370849987351982,NA,NA,-3.34844425454096,252,NA,NA,"2022-12-11","5-4",66.5214826816428,270,"13.6-16.4","6.9-11.1"
"12579",237,"Northern Kentucky","Horz",NA,98.0263435281414,264,102.704409642918,189,0.369091517207198,NA,NA,-3.07725564985347,239,NA,NA,"2022-12-11","5-5",62.5795931321809,356,"16.5-14.5","11.8-8.2"
"12580",238,"Georgia Southern","SB",NA,97.2288911914761,281,101.886934710818,169,0.368617612595541,NA,NA,-2.90200649583212,222,NA,NA,"2022-12-11","6-4",67.5744130977001,218,"14.7-16.3","7-11"
"12581",239,"East Carolina","Amer",NA,102.747585212466,164,107.730891227883,288,0.367106141309239,NA,NA,-2.47823529098952,195,NA,NA,"2022-12-11","7-4",67.7270980486336,209,"12.7-18.3","4.6-13.4"
"12582",240,"William & Mary","CAA",NA,101.665413448059,191,106.869690430213,278,0.360287743989823,NA,NA,-4.12698952224747,286,NA,NA,"2022-12-11","4-7",64.5844284646722,331,"14.6-16.4","9.3-8.7"
"12583",241,"Cal St. Fullerton","BW",NA,99.0183686356004,249,104.112703988316,221,0.359637177368285,NA,NA,-3.45483935588213,262,NA,NA,"2022-12-11","4-6",64.6566345711505,325,"13.9-18.1","8.3-11.7"
"12584",242,"Winthrop","BSth",NA,103.851198618811,139,109.213325803056,311,0.359172866791678,NA,NA,-3.41833156311108,258,NA,NA,"2022-12-11","5-6",69.2263597121659,129,"14.4-16.6","9.2-8.8"
"12585",243,"Portland St.","BSky",NA,100.874391975824,210,106.134788554366,262,0.357877478488336,NA,NA,-2.19237901638768,173,NA,NA,"2022-12-11","5-5",73.099949014389,15,"15-16","9.2-8.8"
"12586",244,"Southern Indiana","OVC",NA,97.726105847556,268,102.861963907894,190,0.356859544854559,NA,NA,-2.99623969237893,232,NA,NA,"2022-12-11","5-5",71.528464209547,47,"18.5-12.5","11.3-6.7"
"12587",245,"Cal Poly","BW",NA,95.4819986334212,310,100.541184137681,144,0.355776824349833,NA,NA,-1.5660019007367,137,NA,NA,"2022-12-11","5-3",65.4121762893647,307,"15.3-16.7","8.2-11.8"
"12588",246,"Denver","Sum",NA,104.015819999268,134,109.614285588246,316,0.353684130259402,NA,NA,-1.54763417418217,136,NA,NA,"2022-12-11","8-3",70.0277639307066,96,"19-12","9.6-8.4"
"12589",247,"Northeastern","CAA",NA,94.5210487173422,322,99.726443993022,126,0.350578847103284,NA,NA,-4.06099529000327,284,NA,NA,"2022-12-11","3-6",67.8098047715039,205,"12-17","8.4-9.6"
"12590",248,"Campbell","BSth",NA,99.2337402518781,244,104.778818556094,235,0.348577936804515,NA,NA,-3.48558781793705,264,NA,NA,"2022-12-11","4-5",65.573938182836,298,"14.7-15.3","9-9"
"12591",249,"North Carolina Central","MEAC",NA,100.97281885731,208,106.682202483138,274,0.346936110598986,NA,NA,-2.46499856193363,193,NA,NA,"2022-12-11","5-5",68.4806550402428,167,"16-12","8.9-5.1"
"12592",250,"Prairie View A&M","SWAC",NA,97.3850709373253,276,102.904803419013,192,0.346601592569889,NA,NA,-3.03681028553051,235,NA,NA,"2022-12-11","4-5",68.9217144272162,148,"16.2-14.8","11.3-6.7"
"12593",251,"Jacksonville St.","ASun",NA,101.397669799388,199,107.185553536287,282,0.345612670999476,NA,NA,-2.46268781312346,192,NA,NA,"2022-12-11","4-5",66.0108333463875,289,"14.5-16.5","7.4-10.6"
"12594",252,"UC San Diego","BW",NA,100.409425225175,220,106.267249885284,264,0.342524960255659,NA,NA,-2.9433690681922,225,NA,NA,"2022-12-11","4-4",66.1493224929362,282,"13.3-18.7","7.9-12.1"
"12595",253,"North Carolina A&T","CAA",NA,97.4258932731832,274,103.314740775637,202,0.337397721127926,NA,NA,-2.13494969328498,168,NA,NA,"2022-12-11","4-4",69.2045019056664,130,"14.2-15.8","9.1-8.9"
"12596",254,"Eastern Washington","BSky",NA,97.7749446752924,266,103.687159831315,216,0.337341451091085,NA,NA,-3.91431714164627,280,NA,NA,"2022-12-11","4-6",69.1922681625855,131,"14.4-16.6","8.9-9.1"
"12597",255,"Tennessee St.","OVC",NA,99.9436734212368,226,106.01282635364,259,0.336716029077555,NA,NA,-2.55135770752149,203,NA,NA,"2022-12-11","6-4",69.4908161468121,110,"18.7-11.3","11-7"
"12598",256,"Austin Peay","ASun",NA,97.5486851241893,273,103.501419609409,208,0.335996200979944,NA,NA,-2.84782033845156,219,NA,NA,"2022-12-11","5-5",65.2908230736713,312,"13.6-17.4","7.4-10.6"
"12599",257,"Coastal Carolina","SB",NA,97.2689349127233,279,103.277082773538,201,0.334197246622633,NA,NA,-2.81156212122269,217,NA,NA,"2022-12-11","5-4",67.7085404391638,213,"12.8-17.2","6.4-11.6"
"12600",258,"Eastern Kentucky","ASun",NA,98.3849424061136,259,104.513688486831,230,0.332933209505518,NA,NA,-2.65271027031,207,NA,NA,"2022-12-11","5-5",71.4134802428299,49,"13.7-17.3","7.3-10.7"
"12601",259,"Niagara","MAAC",NA,97.2550773125286,280,103.507336671899,209,0.328161742755302,NA,NA,-1.45175148721963,131,NA,NA,"2022-12-11","5-4",62.0262352840045,359,"15.3-13.7","9.9-10.1"
"12602",260,"Wagner","NEC",NA,96.6031490700903,289,102.9769719701,197,0.324146321063239,NA,NA,-2.18951358669682,172,NA,NA,"2022-12-11","4-4",66.7316898830979,257,"17.8-9.2","11.2-4.8"
"12603",261,"South Dakota","Sum",NA,102.959152920808,162,109.978277818877,327,0.318986974530807,NA,NA,-3.06783048852374,238,NA,NA,"2022-12-11","5-6",66.6935245476701,258,"14.6-15.4","9-9"
"12604",262,"Maine","AE",NA,100.453292683293,218,107.317178502973,284,0.318624025019879,NA,NA,-2.61403166176532,204,NA,NA,"2022-12-11","6-4",66.5453076622739,266,"14.7-14.3","8.2-7.8"
"12605",263,"Illinois Chicago","MVC",NA,94.978310314403,315,101.602796789702,163,0.315321019920117,NA,NA,-2.78886140984441,214,NA,NA,"2022-12-11","6-4",71.061229603272,58,"14-17","6.7-13.3"
"12606",264,"Texas Southern","SWAC",NA,95.4821948966206,309,102.351060123134,181,0.310262553424548,NA,NA,-2.35733103224179,182,NA,NA,"2022-12-11","2-7",69.3957801970436,116,"14.9-16.1","10.6-7.4"
"12607",265,"Robert Morris","Horz",NA,96.5434176545353,294,103.602279194962,212,0.307567809307284,NA,NA,-4.65451953064159,313,NA,NA,"2022-12-11","4-7",67.4547904888713,228,"14.1-16.9","10.2-9.8"
